po_number,po_line,posting_date,company_code,site_id,site_name,department_id,department_name,cost_center,supplier_child_id,supplier_child_name,supplier_parent_id,supplier_parent_name,supplier_grandparent_id,supplier_grandparent_name,item_code,item_cat_l_id,item_cat_l_name,item_cat_m_id,item_cat_m_name,item_cat_s_id,item_cat_s_name,uom,quantity,unit_price,net_amount,currency,payment_terms,buyer,contract_flag,purchasing_channel,tax_amount,gross_amount
PO20253000269,1,2025-02-16,JP01,S003,関東物流センター,D001,マーケティング,CC4001,SC027,ブルームパッケージ60 K.K.,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000022,CL001,マーケティング,CM005,PR/広報,CS0022,PR/広報（プレミアムプラン）,SET,10.0,1700949.14,17009491.36,JPY,NET45,SUZUKI,0,eProc,1700949.14,18710440.5
PO20253000450,1,2025-02-16,JP01,S004,関西物流センター,D009,SCM企画,CC5101,SC046,アクティブパッケージ71 合同会社,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000086,CL002,リテールプロモ,CM018,リテールメディア,CS0086,リテールメディア（標準プラン）,MONTH,2.0,4770748.32,9541496.63,JPY,NET45,SUZUKI,0,Spot,954149.66,10495646.29
PO20253000210,1,2025-02-19,JP01,S003,関東物流センター,D008,総務,CC1001,SC045,オリオンロジ9 K.K.,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000139,CL003,ビジネスサービス,CM028,清掃/警備,CS0139,清掃/警備（月額サブスク）,PACK,5.0,925349.74,4626748.69,JPY,NET60,TANAKA,0,Catalog,462674.87,5089423.56
PO20253000176,1,2025-02-21,JP01,S003,関東物流センター,D008,総務,CC1001,SC006,フロンティアデジタル78 K.K.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000017,CL001,マーケティング,CM004,SNS運用,CS0017,SNS運用（プレミアムプラン）,PACK,50.0,1137057.73,56852886.66,JPY,NET45,SATO,0,Spot,5685288.67,62538175.33
PO20253000215,1,2025-02-21,JP01,S004,関西物流センター,D009,SCM企画,CC5101,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000093,CL002,リテールプロモ,CM019,売場データ,CS0093,売場データ（スポット対応）,HOUR,40.0,291866.88,11674675.31,JPY,NET45,KOBAYASHI,0,Spot,1167467.53,12842142.84
PO20253000362,1,2025-02-23,JP01,S002,横浜オフィス,D005,情報システム,CC2001,SC022,ノヴァコンサル34 Ltd.,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000080,CL002,リテールプロモ,CM016,店舗イベント,CS0080,店舗イベント（単発作業）,HOUR,40.0,183802.67,7352106.74,JPY,NET45,SATO,1,Spot,735210.67,8087317.41
PO20253000366,1,2025-02-25,JP01,S004,関西物流センター,D001,マーケティング,CC4001,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000088,CL002,リテールプロモ,CM018,リテールメディア,CS0088,リテールメディア（スポット対応）,LOT,12.0,6245645.22,74947742.65,JPY,NET60,UEDA,0,Catalog,7494774.26,82442516.91
PO20253000480,1,2025-02-28,JP01,S002,横浜オフィス,D001,マーケティング,CC4001,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000062,CL002,リテールプロモ,CM013,ノベルティ,CS0062,ノベルティ（プレミアムプラン）,MONTH,1.0,6056388.36,6056388.36,JPY,NET30,SUZUKI,0,Spot,605638.84,6662027.2
PO20253000073,1,2025-03-02,JP01,S001,本社（東京）,D001,マーケティング,CC4001,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000126,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0126,翻訳/通訳（標準プラン）,HOUR,80.0,316852.25,25348180.36,JPY,NET30,KOBAYASHI,1,Framework,2534818.04,27882998.4
PO20253000201,1,2025-03-02,JP01,S002,横浜オフィス,D006,物流,CC5001,SC042,オリオンコンサル97 合同会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000100,CL002,リテールプロモ,CM020,販促物流,CS0100,販促物流（単発作業）,HOUR,80.0,223656.03,17892482.79,JPY,NET30,SUZUKI,0,Framework,1789248.28,19681731.07
PO20253000353,1,2025-03-04,JP01,S001,本社（東京）,D005,情報システム,CC2001,SC042,オリオンコンサル97 合同会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000142,CL003,ビジネスサービス,CM029,設備保全,CS0142,設備保全（プレミアムプラン）,SET,20.0,1988287.39,39765747.78,JPY,NET60,TANAKA,1,Catalog,3976574.78,43742322.56
PO20253000363,1,2025-03-04,JP01,S002,横浜オフィス,D005,情報システム,CC2001,SC027,ブルームパッケージ60 K.K.,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000077,CL002,リテールプロモ,CM016,店舗イベント,CS0077,店舗イベント（プレミアムプラン）,PACK,50.0,1281503.36,64075168.25,JPY,NET60,UEDA,0,eProc,6407516.82,70482685.07
PO20253000202,1,2025-03-05,JP01,S005,名古屋拠点,D001,マーケティング,CC4001,SC012,ブルームサプライ59 K.K.,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000206,CL005,IT,CM042,ソフトウェア,CS0206,ソフトウェア（標準プラン）,LOT,6.0,5042597.49,30255584.91,JPY,NET45,KOBAYASHI,0,Spot,3025558.49,33281143.4
PO20253000329,1,2025-03-05,JP01,S002,横浜オフィス,D004,人事,CC2201,SC044,エコーコンサル58 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000008,CL001,マーケティング,CM002,デジタル広告,CS0008,デジタル広告（スポット対応）,MONTH,2.0,3636636.55,7273273.1,JPY,NET30,SATO,0,Framework,727327.31,8000600.41
PO20253000187,1,2025-03-07,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC004,ネクサスロジ98 K.K.,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000006,CL001,マーケティング,CM002,デジタル広告,CS0006,デジタル広告（標準プラン）,SET,2.0,1994743.92,3989487.85,JPY,NET30,UEDA,0,Catalog,398948.78,4388436.63
PO20253000424,1,2025-03-08,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC008,ブルームプロモ71 K.K.,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000020,CL001,マーケティング,CM004,SNS運用,CS0020,SNS運用（単発作業）,SET,2.0,1114303.14,2228606.28,JPY,NET30,TANAKA,0,Catalog,222860.63,2451466.91
PO20253000472,1,2025-03-08,JP01,S003,関東物流センター,D006,物流,CC5001,SC029,ノヴァサプライ99 K.K.,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000057,CL002,リテールプロモ,CM012,POP/印刷,CS0057,POP/印刷（プレミアムプラン）,EA,5.0,1689505.96,8447529.81,JPY,NET60,KOBAYASHI,0,Framework,844752.98,9292282.79
PO20253000169,1,2025-03-09,JP01,S004,関西物流センター,D008,総務,CC1001,SC032,ノヴァビジネス65 株式会社,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000240,CL005,IT,CM048,IT運用,CS0240,IT運用（単発作業）,SET,5.0,972144.35,4860721.77,JPY,NET30,KOBAYASHI,1,Catalog,486072.18,5346793.95
PO20253000080,1,2025-03-12,JP01,S002,横浜オフィス,D009,SCM企画,CC5101,SC034,ネクサスデジタル98 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000145,CL003,ビジネスサービス,CM029,設備保全,CS0145,設備保全（単発作業）,LOT,2.0,5966254.02,11932508.03,JPY,NET45,SATO,0,Catalog,1193250.8,13125758.83
PO20253000213,1,2025-03-12,JP01,S003,関東物流センター,D004,人事,CC2201,SC028,ノヴァマーケ88 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000141,CL003,ビジネスサービス,CM029,設備保全,CS0141,設備保全（標準プラン）,EA,20.0,1990812.43,39816248.64,JPY,NET30,SATO,0,Catalog,3981624.86,43797873.5
PO20253000395,1,2025-03-12,JP01,S005,名古屋拠点,D008,総務,CC1001,SC012,ブルームサプライ59 K.K.,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000017,CL001,マーケティング,CM004,SNS運用,CS0017,SNS運用（プレミアムプラン）,PACK,1.0,1402563.22,1402563.22,JPY,NET30,SUZUKI,0,Spot,140256.32,1542819.54
PO20253000196,1,2025-03-13,JP01,S005,名古屋拠点,D002,営業（リテール）,CC4101,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000131,CL003,ビジネスサービス,CM027,コンサル,CS0131,コンサル（標準プラン）,LOT,6.0,6141795.75,36850774.51,JPY,NET60,UEDA,0,Spot,3685077.45,40535851.96
PO20253000182,1,2025-03-16,JP01,S003,関東物流センター,D005,情報システム,CC2001,SC015,ノヴァロジ21 Ltd.,SP015,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000234,CL005,IT,CM047,開発外注,CS0234,開発外注（月額サブスク）,SET,1.0,1619607.82,1619607.82,JPY,NET45,TANAKA,0,Catalog,161960.78,1781568.6
PO20253000355,1,2025-03-16,JP01,S001,本社（東京）,D001,マーケティング,CC4001,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000092,CL002,リテールプロモ,CM019,売場データ,CS0092,売場データ（プレミアムプラン）,SET,1.0,1843215.87,1843215.87,JPY,NET30,SUZUKI,1,Catalog,184321.59,2027537.46
PO20253000075,1,2025-03-17,JP01,S003,関東物流センター,D009,SCM企画,CC5101,SC012,ブルームサプライ59 K.K.,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000009,CL001,マーケティング,CM002,デジタル広告,CS0009,デジタル広告（月額サブスク）,PACK,20.0,718155.86,14363117.12,JPY,NET30,KOBAYASHI,0,Spot,1436311.71,15799428.83
PO20253000412,1,2025-03-17,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC017,フロンティアマーケ30 株式会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000091,CL002,リテールプロモ,CM019,売場データ,CS0091,売場データ（標準プラン）,LOT,1.0,4807941.19,4807941.19,JPY,NET60,TANAKA,1,Catalog,480794.12,5288735.31
PO20253000434,1,2025-03-18,JP01,S005,名古屋拠点,D004,人事,CC2201,SC041,サミットコンサル78 Ltd.,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000101,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0101,BPO/事務委託（標準プラン）,EA,20.0,1483719.0,29674379.98,JPY,NET60,SUZUKI,1,Spot,2967438.0,32641817.98
PO20253000177,1,2025-03-19,JP01,S004,関西物流センター,D008,総務,CC1001,SC008,ブルームプロモ71 K.K.,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000090,CL002,リテールプロモ,CM018,リテールメディア,CS0090,リテールメディア（単発作業）,PACK,5.0,1175229.79,5876148.95,JPY,NET30,UEDA,1,Framework,587614.9,6463763.85
PO20253000474,1,2025-03-20,JP01,S001,本社（東京）,D001,マーケティング,CC4001,SC014,サミットプロモ78 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000132,CL003,ビジネスサービス,CM027,コンサル,CS0132,コンサル（プレミアムプラン）,EA,5.0,1115689.65,5578448.23,JPY,NET60,TANAKA,0,Framework,557844.82,6136293.05
PO20253000496,1,2025-03-21,JP01,S004,関西物流センター,D004,人事,CC2201,SC002,エコーパッケージ36 株式会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000141,CL003,ビジネスサービス,CM029,設備保全,CS0141,設備保全（標準プラン）,EA,5.0,1601415.2,8007076.0,JPY,NET60,KOBAYASHI,0,Catalog,800707.6,8807783.6
PO20253000238,1,2025-03-22,JP01,S002,横浜オフィス,D001,マーケティング,CC4001,SC012,ブルームサプライ59 K.K.,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000070,CL002,リテールプロモ,CM014,販促キャンペーン,CS0070,販促キャンペーン（単発作業）,MONTH,1.0,4596060.28,4596060.28,JPY,NET30,UEDA,1,eProc,459606.03,5055666.31
PO20253000436,1,2025-03-22,JP01,S001,本社（東京）,D001,マーケティング,CC4001,SC032,ノヴァビジネス65 株式会社,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000079,CL002,リテールプロモ,CM016,店舗イベント,CS0079,店舗イベント（月額サブスク）,PACK,3.0,1588575.57,4765726.72,JPY,NET45,SUZUKI,1,Framework,476572.67,5242299.39
PO20253000248,1,2025-03-23,JP01,S001,本社（東京）,D005,情報システム,CC2001,SC012,ブルームサプライ59 K.K.,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000040,CL001,マーケティング,CM008,SEO/コンテンツ,CS0040,SEO/コンテンツ（単発作業）,HOUR,160.0,199019.32,31843091.13,JPY,NET60,TANAKA,0,Framework,3184309.11,35027400.24
PO20253000331,1,2025-03-23,JP01,S003,関東物流センター,D005,情報システム,CC2001,SC039,ユニオンコンサル99 合同会社,SP019,Travel Japan K.K.,SGP009,Travel & Events Network,IM000019,CL001,マーケティング,CM004,SNS運用,CS0019,SNS運用（月額サブスク）,SET,3.0,2404033.24,7212099.73,JPY,NET60,UEDA,0,Catalog,721209.97,7933309.7
PO20253000485,1,2025-03-23,JP01,S003,関東物流センター,D008,総務,CC1001,SC017,フロンティアマーケ30 株式会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000018,CL001,マーケティング,CM004,SNS運用,CS0018,SNS運用（スポット対応）,PACK,10.0,748537.64,7485376.35,JPY,NET45,TANAKA,0,Catalog,748537.64,8233913.99
PO20253000065,1,2025-03-24,JP01,S004,関西物流センター,D007,カスタマーセンター,CC7001,SC045,オリオンロジ9 K.K.,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000078,CL002,リテールプロモ,CM016,店舗イベント,CS0078,店舗イベント（スポット対応）,EA,2.0,1939363.82,3878727.65,JPY,NET60,SUZUKI,1,Spot,387872.76,4266600.41
PO20253000224,1,2025-03-24,JP01,S004,関西物流センター,D007,カスタマーセンター,CC7001,SC017,フロンティアマーケ30 株式会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000146,CL003,ビジネスサービス,CM030,総務支援,CS0146,総務支援（標準プラン）,EA,3.0,1697303.16,5091909.48,JPY,NET45,SATO,0,Catalog,509190.95,5601100.43
PO20253000386,1,2025-03-24,JP01,S002,横浜オフィス,D001,マーケティング,CC4001,SC007,アクティブBPO69 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000143,CL003,ビジネスサービス,CM029,設備保全,CS0143,設備保全（スポット対応）,PACK,50.0,998292.06,49914603.2,JPY,NET45,SUZUKI,0,Spot,4991460.32,54906063.52
PO20253000014,1,2025-03-25,JP01,S002,横浜オフィス,D009,SCM企画,CC5101,SC010,ユニオンマーケ85 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000031,CL001,マーケティング,CM007,CRM/メール,CS0031,CRM/メール（標準プラン）,LOT,2.0,2612620.6,5225241.21,JPY,NET45,UEDA,0,Framework,522524.12,5747765.33
PO20253000212,1,2025-03-27,JP01,S003,関東物流センター,D008,総務,CC1001,SC037,サミットロジ8 合同会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000208,CL005,IT,CM042,ソフトウェア,CS0208,ソフトウェア（スポット対応）,LOT,1.0,4949929.64,4949929.64,JPY,NET45,UEDA,0,Spot,494992.96,5444922.6
PO20253000263,1,2025-03-27,JP01,S004,関西物流センター,D005,情報システム,CC2001,SC001,オリオンコンサル54 合同会社,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000042,CL001,マーケティング,CM009,撮影/動画,CS0042,撮影/動画（プレミアムプラン）,MONTH,1.0,3679937.41,3679937.41,JPY,NET45,TANAKA,1,Catalog,367993.74,4047931.15
PO20253000457,1,2025-03-28,JP01,S001,本社（東京）,D006,物流,CC5001,SC031,エコーマーケ93 K.K.,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000121,CL003,ビジネスサービス,CM025,会計/経理,CS0121,会計/経理（標準プラン）,SET,5.0,1880306.36,9401531.78,JPY,NET60,KOBAYASHI,0,Catalog,940153.18,10341684.96
PO20253000010,1,2025-03-29,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC002,エコーパッケージ36 株式会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000120,CL003,ビジネスサービス,CM024,法務/士業,CS0120,法務/士業（単発作業）,EA,10.0,1784135.69,17841356.9,JPY,NET60,SUZUKI,1,eProc,1784135.69,19625492.59
PO20253000088,1,2025-03-29,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000072,CL002,リテールプロモ,CM015,サンプリング,CS0072,サンプリング（プレミアムプラン）,EA,50.0,1072436.06,53621802.89,JPY,NET60,KOBAYASHI,0,Catalog,5362180.29,58983983.18
PO20253000306,1,2025-03-30,JP01,S004,関西物流センター,D009,SCM企画,CC5101,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000064,CL002,リテールプロモ,CM013,ノベルティ,CS0064,ノベルティ（月額サブスク）,SET,3.0,1546218.01,4638654.04,JPY,NET45,KOBAYASHI,0,Spot,463865.4,5102519.44
PO20253000045,1,2025-03-31,JP01,S001,本社（東京）,D004,人事,CC2201,SC042,オリオンコンサル97 合同会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000014,CL001,マーケティング,CM003,クリエイティブ制作,CS0014,クリエイティブ制作（月額サブスク）,HOUR,20.0,145118.92,2902378.37,JPY,NET45,SUZUKI,1,Spot,290237.84,3192616.21
PO20253000358,1,2025-03-31,JP01,S004,関西物流センター,D009,SCM企画,CC5101,SC032,ノヴァビジネス65 株式会社,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000051,CL002,リテールプロモ,CM011,店頭什器,CS0051,店頭什器（標準プラン）,SET,3.0,2617038.31,7851114.93,JPY,NET30,KOBAYASHI,0,Spot,785111.49,8636226.42
PO20253000461,1,2025-03-31,JP01,S003,関東物流センター,D009,SCM企画,CC5101,SC031,エコーマーケ93 K.K.,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000122,CL003,ビジネスサービス,CM025,会計/経理,CS0122,会計/経理（プレミアムプラン）,SET,3.0,2423579.28,7270737.83,JPY,NET30,TANAKA,0,eProc,727073.78,7997811.61
PO20253000456,1,2025-04-01,JP01,S004,関西物流センター,D007,カスタマーセンター,CC7001,SC011,サミットプロモ30 株式会社,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000148,CL003,ビジネスサービス,CM030,総務支援,CS0148,総務支援（スポット対応）,LOT,6.0,6249594.46,37497566.75,JPY,NET60,KOBAYASHI,0,Catalog,3749756.68,41247323.43
PO20253000036,1,2025-04-03,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC011,サミットプロモ30 株式会社,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000001,CL001,マーケティング,CM001,広告出稿,CS0001,広告出稿（標準プラン）,LOT,1.0,5464354.87,5464354.87,JPY,NET60,SATO,0,Framework,546435.49,6010790.36
PO20253000056,1,2025-04-03,JP01,S003,関東物流センター,D006,物流,CC5001,SC009,クレストデジタル74 合同会社,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000095,CL002,リテールプロモ,CM019,売場データ,CS0095,売場データ（単発作業）,SET,5.0,2061774.01,10308870.07,JPY,NET30,SATO,1,Spot,1030887.01,11339757.08
PO20253000157,1,2025-04-03,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC033,サミットコンサル78 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000077,CL002,リテールプロモ,CM016,店舗イベント,CS0077,店舗イベント（プレミアムプラン）,PACK,1.0,1484354.57,1484354.57,JPY,NET60,UEDA,1,Framework,148435.46,1632790.03
PO20253000388,1,2025-04-03,JP01,S003,関東物流センター,D001,マーケティング,CC4001,SC028,ノヴァマーケ88 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000062,CL002,リテールプロモ,CM013,ノベルティ,CS0062,ノベルティ（プレミアムプラン）,MONTH,2.0,5786303.4,11572606.79,JPY,NET60,SUZUKI,1,Framework,1157260.68,12729867.47
PO20253000040,1,2025-04-04,JP01,S004,関西物流センター,D005,情報システム,CC2001,SC023,クレストイベント47 合同会社,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000078,CL002,リテールプロモ,CM016,店舗イベント,CS0078,店舗イベント（スポット対応）,EA,3.0,1106802.4,3320407.2,JPY,NET60,UEDA,0,Framework,332040.72,3652447.92
